n,us
1,788
2,1587
3,2375
4,3151
5,3956
6,4756
7,5534
8,6351
9,7134
10,7937
11,8728
12,9530
13,10345
14,11152
15,11919
16,12861
17,13627
18,14404
19,15238
20,16061
21,16853
22,17698
23,18501
24,19327
25,20110
26,20920
27,21697
28,22453
29,23216
30,24031
31,24814
32,25628
33,26390
34,27174
35,27928
36,28706
37,29493
38,30302
39,31088
40,31880
41,32653
42,33433
43,34222
44,34977
45,35735
46,36503
47,37305
48,38093
49,38888
50,39669
51,40466
52,41236
53,42076
54,42887
55,43659
56,44474
57,45290
58,46060
59,46827
60,47594
61,48390
62,49146
63,49950
64,50788
65,51585
66,52382
67,53192
68,53991
69,54795
70,55588
71,56345
72,57132
73,57896
74,58671
75,59450
76,60246
77,61017
78,61794
79,62555
80,63359
81,64131
82,64938
83,65687
84,66473
85,67348
86,68126
87,68969
88,69803
89,70598
90,71378
91,72151
92,72917
93,73817
94,74579
95,75371
96,76171
97,76962
98,77761
99,78548
100,79334
