n,us
1,6743
2,6751
3,6764
4,6780
5,6793
6,6804
7,6817
8,6825
9,6836
10,6852
11,6862
12,6877
13,6892
14,6904
15,6916
16,6930
17,6945
18,6959
19,6971
20,6987
21,6997
22,7006
23,7019
24,7032
25,7045
26,7055
27,7068
28,7079
29,7092
30,7104
31,7116
32,7130
33,7138
34,7151
35,7161
36,7169
37,7185
38,7194
39,7205
40,7216
41,7233
42,7248
43,7262
44,7278
45,7294
46,7307
47,7317
48,7329
49,7343
50,7356
51,7367
52,7374
53,7387
54,7396
55,7409
56,7418
57,7433
58,7445
59,7456
60,7463
61,7469
62,7477
63,7492
64,7502
65,7509
66,7518
67,7529
68,7538
69,7549
70,7565
71,7574
72,7586
73,7597
74,7612
75,7622
76,7637
77,7646
78,7660
79,7673
80,7682
81,7693
82,7704
83,7715
84,7728
85,7745
86,7757
87,7768
88,7779
89,7793
90,7806
91,7812
92,7826
93,7842
94,7856
95,7869
96,7875
97,7887
98,7898
99,7909
100,7922
